seed,step,day,money,melon_seeds,wheat_seeds,straw_seeds,unlocked_quads,num_plants,num_cows,num_hands,action_id,terminal_return,delta_vs_baseline
1000,0,0,3000.0,0,0,0,1,0,0,0,0,110.0,0.0
1000,0,0,3000.0,0,0,0,1,0,0,0,1,108.0,-2.0
1000,0,0,3000.0,0,0,0,1,0,0,0,2,105.0,-5.0
1000,0,0,3000.0,0,0,0,1,0,0,0,3,100.0,-10.0
1000,0,0,3000.0,0,0,0,1,0,0,0,4,2803.0,2693.0
1000,0,0,3000.0,0,0,0,1,0,0,0,5,15.0,-95.0
1000,0,0,3000.0,0,0,0,1,0,0,0,6,58.0,-52.0
1000,0,0,3000.0,0,0,0,1,0,0,0,7,38.0,-72.0
1000,0,0,3000.0,0,0,0,1,0,0,0,8,110.0,0.0
1000,0,0,3000.0,0,0,0,1,0,0,0,9,110.0,0.0
1000,0,0,3000.0,0,0,0,1,0,0,0,10,10.0,-100.0
1000,0,0,3000.0,0,0,0,1,0,0,0,11,35.0,-75.0
1000,24,1,2058.0,1,6,0,1,5,0,0,0,110.0,0.0
1000,24,1,2058.0,1,6,0,1,5,0,0,1,3164.0,3054.0
1000,24,1,2058.0,1,6,0,1,5,0,0,2,3162.0,3052.0
1000,24,1,2058.0,1,6,0,1,5,0,0,3,3159.0,3049.0
1000,24,1,2058.0,1,6,0,1,5,0,0,4,45.0,-65.0
1000,24,1,2058.0,1,6,0,1,5,0,0,5,185.0,75.0
1000,24,1,2058.0,1,6,0,1,5,0,0,6,58.0,-52.0
1000,24,1,2058.0,1,6,0,1,5,0,0,7,38.0,-72.0
1000,24,1,2058.0,1,6,0,1,5,0,0,8,110.0,0.0
1000,24,1,2058.0,1,6,0,1,5,0,0,9,110.0,0.0
1000,24,1,2058.0,1,6,0,1,5,0,0,10,10.0,-100.0
1000,24,1,2058.0,1,6,0,1,5,0,0,11,4.0,-106.0
1000,72,3,2056.0,0,0,0,1,11,0,0,0,110.0,0.0
1000,72,3,2056.0,0,0,0,1,11,0,0,1,109.0,-1.0
1000,72,3,2056.0,0,0,0,1,11,0,0,2,107.0,-3.0
1000,72,3,2056.0,0,0,0,1,11,0,0,3,104.0,-6.0
1000,72,3,2056.0,0,0,0,1,11,0,0,4,30.0,-80.0
1000,72,3,2056.0,0,0,0,1,11,0,0,5,70.0,-40.0
1000,72,3,2056.0,0,0,0,1,11,0,0,6,58.0,-52.0
1000,72,3,2056.0,0,0,0,1,11,0,0,7,38.0,-72.0
1000,72,3,2056.0,0,0,0,1,11,0,0,8,110.0,0.0
1000,72,3,2056.0,0,0,0,1,11,0,0,9,110.0,0.0
1000,72,3,2056.0,0,0,0,1,11,0,0,10,10.0,-100.0
1000,72,3,2056.0,0,0,0,1,11,0,0,11,9.0,-101.0
1000,120,5,1877.0,0,0,0,1,8,0,0,0,110.0,0.0
1000,120,5,1877.0,0,0,0,1,8,0,0,1,9.0,-101.0
1000,120,5,1877.0,0,0,0,1,8,0,0,2,7.0,-103.0
1000,120,5,1877.0,0,0,0,1,8,0,0,3,4.0,-106.0
1000,120,5,1877.0,0,0,0,1,8,0,0,4,30.0,-80.0
1000,120,5,1877.0,0,0,0,1,8,0,0,5,70.0,-40.0
1000,120,5,1877.0,0,0,0,1,8,0,0,6,70.0,-40.0
1000,120,5,1877.0,0,0,0,1,8,0,0,7,50.0,-60.0
1000,120,5,1877.0,0,0,0,1,8,0,0,8,110.0,0.0
1000,120,5,1877.0,0,0,0,1,8,0,0,9,110.0,0.0
1000,120,5,1877.0,0,0,0,1,8,0,0,10,10.0,-100.0
1000,120,5,1877.0,0,0,0,1,8,0,0,11,9.0,-101.0
1000,168,7,1337.0,0,0,2,1,11,0,0,0,110.0,0.0
1000,168,7,1337.0,0,0,2,1,11,0,0,1,3889.0,3779.0
1000,168,7,1337.0,0,0,2,1,11,0,0,2,3887.0,3777.0
1000,168,7,1337.0,0,0,2,1,11,0,0,3,5161.0,5051.0
1000,168,7,1337.0,0,0,2,1,11,0,0,4,30.0,-80.0
1000,168,7,1337.0,0,0,2,1,11,0,0,5,13.0,-97.0
1000,168,7,1337.0,0,0,2,1,11,0,0,6,70.0,-40.0
1000,168,7,1337.0,0,0,2,1,11,0,0,7,50.0,-60.0
1000,168,7,1337.0,0,0,2,1,11,0,0,8,110.0,0.0
1000,168,7,1337.0,0,0,2,1,11,0,0,9,236.0,126.0
1000,168,7,1337.0,0,0,2,1,11,0,0,10,10.0,-100.0
1000,168,7,1337.0,0,0,2,1,11,0,0,11,36.0,-74.0
1000,216,9,735.0,0,0,6,1,11,0,0,0,110.0,0.0
1000,216,9,735.0,0,0,6,1,11,0,0,1,4745.0,4635.0
1000,216,9,735.0,0,0,6,1,11,0,0,2,4743.0,4633.0
1000,216,9,735.0,0,0,6,1,11,0,0,3,4740.0,4630.0
1000,216,9,735.0,0,0,6,1,11,0,0,4,4062.0,3952.0
1000,216,9,735.0,0,0,6,1,11,0,0,5,3901.0,3791.0
1000,216,9,735.0,0,0,6,1,11,0,0,6,70.0,-40.0
1000,216,9,735.0,0,0,6,1,11,0,0,7,50.0,-60.0
1000,216,9,735.0,0,0,6,1,11,0,0,8,153.0,43.0
1000,216,9,735.0,0,0,6,1,11,0,0,9,110.0,0.0
1000,216,9,735.0,0,0,6,1,11,0,0,10,110.0,0.0
1000,216,9,735.0,0,0,6,1,11,0,0,11,110.0,0.0
1000,264,11,33.0,0,0,13,1,9,0,0,0,110.0,0.0
1000,264,11,33.0,0,0,13,1,9,0,0,1,110.0,0.0
1000,264,11,33.0,0,0,13,1,9,0,0,2,110.0,0.0
